id,release_date,movie,production_budget,domestic_gross,worldwide_gross,release_year,profit,roi,foreign_gross
88,2012-11-21,Life of Pi,120000000,124987022,620912003,2012,500912003,417.42666916666667,495924981
81,2019-05-24,Aladdin,182000000,246734314,619234314,2019,437234314,240.23863406593406,372500000
31,1997-05-22,The Lost World: Jurassic Park,75000000,229086679,618638999,1997,543638999,724.8519986666666,389552320
68,2008-07-18,Mamma Mia!,52000000,144130063,615748772,2008,563748772,1084.1322538461538,471618709
59,2017-03-03,Logan,127000000,226277068,615461394,2017,488461394,384.6152708661417,389184326
33,2004-11-05,The Incredibles,92000000,261441092,614726752,2004,522726752,568.1812521739131,353285660
99,2014-06-13,How to Train Your Dragon 2,145000000,177002924,614586270,2014,469586270,323.8526,437583346
36,2005-06-29,War of the Worlds,132000000,234280354,606836535,2005,474836535,359.7246477272727,372556181
33,2017-06-21,Transformers: The Last Knight,217000000,130168683,602893340,2017,385893340,177.8310322580645,472724657
71,2008-11-07,Madagascar: Escape 2 Africa,150000000,180174880,599680774,2008,449680774,299.78718266666664,419505894
60,2006-11-17,Casino Royale,102000000,167365000,594420283,2006,492420283,482.7649833333333,427055283
26,2008-11-14,Quantum of Solace,230000000,169368427,591692078,2008,361692078,157.2574252173913,422323651
39,1997-07-01,Men in Black,90000000,250690539,587790539,1997,497790539,553.1005988888888,337100000
15,2010-11-24,Tangled,260000000,200821936,586477240,2010,326477240,125.56816923076923,385655304
39,2011-05-26,The Hangover Part II,80000000,254464305,586464305,2011,506464305,633.08038125,332000000
61,2007-12-14,I am Legend,150000000,256393010,585532684,2007,435532684,290.35512266666666,329139674
74,2008-05-02,Iron Man,186000000,318604126,585171547,2008,399171547,214.60835860215056,266567421
17,2006-12-22,Night at the Museum,110000000,250863268,579446407,2006,469446407,426.76946090909087,328583139
78,2018-03-29,Ready Player One,150000000,137690172,579290136,2018,429290136,286.193424,441599964
26,2013-03-22,The Croods,135000000,187168425,573068425,2013,438068425,324.4951296296296,385900000
84,1983-05-25,Star Wars Ep. VI: Return of the Jedi,32500000,309205079,572705079,1983,540205079,1662.1694738461538,263500000
78,2015-02-13,Fifty Shades of Grey,40000000,166167230,570998101,2015,530998101,1327.4952524999999,404830871
20,2011-07-29,The Smurfs,110000000,142614158,563749323,2011,453749323,412.4993845454545,421135165
78,2017-03-10,Kong: Skull Island,185000000,168052812,561072059,2017,376072059,203.28219405405403,393019247
57,2011-06-24,Cars 2,200000000,191450875,560155383,2011,360155383,180.0776915,368704508
7,2001-11-02,"Monsters, Inc.",115000000,289423425,559757719,2001,444757719,386.7458426086956,270334294
33,2005-05-27,Madagascar,75000000,193595521,556559566,2005,481559566,642.0794213333334,362964045
70,2004-05-28,The Day After Tomorrow,125000000,186740799,556319450,2004,431319450,345.05556,369578651
84,2012-06-29,Ted,50000000,218665740,556016627,2012,506016627,1012.0332539999999,337350887
46,2011-10-28,Puss in Boots,130000000,149260504,554987477,2011,424987477,326.9134438461538,405726973
77,2012-06-22,Brave,185000000,237282182,554606532,2012,369606532,199.7873145945946,317324350
8,1998-07-01,Armageddon,140000000,201578182,554600000,1998,414600000,296.1428571428571,353021818
42,2016-02-19,Mei Ren Yu,60720000,3229457,554516671,2016,493796671,813.2356241765481,551287214
40,2005-12-14,King Kong,207000000,218080025,550517357,2005,343517357,165.95041400966184,332437332
84,2000-05-24,Mission: Impossible 2,120000000,215409889,549588516,2000,429588516,357.99043,334178627
57,2014-12-25,American Sniper,58000000,350126372,547326372,2014,489326372,843.6661586206898,197200000
50,2010-07-09,Despicable Me,69000000,251513985,543464573,2010,474464573,687.6298159420289,291950588
93,2016-05-27,X-Men: Apocalypse,178000000,155442489,542537546,2016,364537546,204.79637415730338,387095057
69,2011-12-16,Sherlock Holmes: A Game of Shadows,125000000,186848418,535663443,2011,410663443,328.53075440000003,348815025
13,2015-03-13,Cinderella,95000000,201151353,534551353,2015,439551353,462.68563473684213,333400000
68,1980-05-21,Star Wars Ep. V: The Empire Strikes Back,23000000,290271960,534161334,1980,511161334,2222.440582608696,243889374
27,2015-12-25,The Revenant,135000000,183637894,532938302,2015,397938302,294.7691125925926,349300408
86,2008-06-27,WALL-E,180000000,223808164,532508025,2008,352508025,195.83779166666665,308699861
69,2013-06-21,World War Z,190000000,202359711,531514650,2013,341514650,179.74455263157896,329154939
94,2018-08-10,The Meg,178000000,145443742,529530715,2018,351530715,197.48916573033708,384086973
41,2014-05-16,Godzilla,160000000,200676069,529076069,2014,369076069,230.67254312499998,328400000
77,2018-07-13,Hotel Transylvania 3: Summer Vacation,65000000,167500092,527079962,2018,462079962,710.8922492307693,359579870
80,2007-07-27,The Simpsons Movie,72500000,183135014,527071022,2007,454571022,626.9945131034483,343936008
3,2018-11-21,Ralph Breaks The Internet,175000000,201091711,524283695,2018,349283695,199.59068285714287,323191984
56,2019-02-22,How to Train Your Dragon: The Hidden World,129000000,160791800,519258283,2019,390258283,302.52580077519383,358466483
43,2015-07-17,Ant-Man,130000000,180202163,518858449,2015,388858449,299.1218838461538,338656286
5,1990-07-13,Ghost,22000000,217631306,517600000,1990,495600000,2252.7272727272725,299968694
11,2016-01-29,Kung Fu Panda 3,140000000,143528619,517599142,2016,377599142,269.71367285714285,374070523
43,2004-12-22,Meet the Fockers,60000000,279167575,516567575,2004,456567575,760.9459583333332,237400000
65,1991-07-02,Terminator 2: Judgment Day,100000000,203464105,515419827,1991,415419827,415.419827,311955722
40,1999-11-19,Toy Story 2,90000000,245852179,511358276,1999,421358276,468.17586222222224,265506097
28,2018-11-09,Dr. Seussâ The Grinch,75000000,270620950,511002426,2018,436002426,581.336568,240381476
71,2017-03-31,The Boss Baby,125000000,175003033,510878762,2017,385878762,308.7030096,335875729
69,2017-07-21,Dunkirk,150000000,190068280,499837368,2017,349837368,233.22491200000002,309769088
42,2009-12-25,Sherlock Holmes,90000000,209028679,498438212,2009,408438212,453.8202355555556,289409533
31,2012-11-02,Wreck-It Ralph,165000000,189412677,496511521,2012,331511521,200.91607333333332,307098844
82,1996-05-10,Twister,88000000,241688385,495700000,1996,407700000,463.2954545454545,254011615
30,2010-03-26,How to Train Your Dragon,165000000,217581232,494870992,2010,329870992,199.92181333333335,277289760
72,2010-04-01,Clash of the Titans,125000000,163214888,493214888,2010,368214888,294.57191040000004,330000000
49,2014-04-11,Rio 2,130000000,131538435,492846291,2014,362846291,279.11253153846155,361307856
83,2001-05-18,Shrek,50000000,267655011,491812794,2001,441812794,883.625588,224157783
81,2009-05-15,Angels & Demons,150000000,133375846,490875846,2009,340875846,227.250564,357500000
54,2013-03-08,Oz the Great and Powerful,200000000,234770996,490359051,2013,290359051,145.17952549999998,255588055
52,2017-07-14,War for the Planet of the Apes,152000000,146880162,489592267,2017,337592267,222.10017565789474,342712105
46,2011-04-15,Rio,90000000,143619809,487519809,2011,397519809,441.6886766666667,343900000
18,2005-06-10,Mr. and Mrs. Smith,110000000,186336279,486124090,2005,376124090,341.9309909090909,299787811
71,1998-07-24,Saving Private Ryan,65000000,216335085,485035085,1998,420035085,646.2078230769231,268700000
68,2014-08-08,Teenage Mutant Ninja Turtles,125000000,191204754,485004754,2014,360004754,288.0038032,293800000
18,2012-05-25,Les Intouchables,10800000,13182281,484873045,2012,474073045,4389.5652314814815,471690764
37,2003-05-23,Bruce Almighty,81000000,242704995,484468608,2003,403468608,498.1093925925926,241763613
82,2004-05-14,Troy,150000000,133298577,484161265,2004,334161265,222.77417666666665,350862688
