id,release_date,movie,production_budget,domestic_gross,worldwide_gross,release_year,profit,roi,foreign_gross,title_std,genres,averagerating,numvotes,popularity,foreign_share
14,2012-07-13,Ice Age: Continental Drift,95000000,161321843,879765137,2012,784765137,826.068565263158,718443294,ice age: continental drift,Comedy,6.6,175601,17.537,81.66307844953852
10,2015-11-06,Spectre,300000000,200074175,879620923,2015,579620923,193.2069743333333,679546748,spectre,Action,6.8,352504,30.318,77.2545002320278
10,2015-11-06,Spectre,300000000,200074175,879620923,2015,579620923,193.2069743333333,679546748,spectre,Adventure,6.8,352504,30.318,77.2545002320278
10,2015-11-06,Spectre,300000000,200074175,879620923,2015,579620923,193.2069743333333,679546748,spectre,Thriller,6.8,352504,30.318,77.2545002320278
18,2016-03-25,Batman v Superman: Dawn of Justice,250000000,330360194,867500281,2016,617500281,247.00011239999998,537140087,batman v superman: dawn of justice,Action,6.5,576909,28.088,61.918145591932095
18,2016-03-25,Batman v Superman: Dawn of Justice,250000000,330360194,867500281,2016,617500281,247.00011239999998,537140087,batman v superman: dawn of justice,Adventure,6.5,576909,28.088,61.918145591932095
18,2016-03-25,Batman v Superman: Dawn of Justice,250000000,330360194,867500281,2016,617500281,247.00011239999998,537140087,batman v superman: dawn of justice,Fantasy,6.5,576909,28.088,61.918145591932095
38,2013-11-22,The Hunger Games: Catching Fire,130000000,424668047,864868047,2013,734868047,565.2831130769231,440200000,the hunger games: catching fire,Action,7.5,575455,20.187,50.897937728990925
38,2013-11-22,The Hunger Games: Catching Fire,130000000,424668047,864868047,2013,734868047,565.2831130769231,440200000,the hunger games: catching fire,Adventure,7.5,575455,20.187,50.897937728990925
38,2013-11-22,The Hunger Games: Catching Fire,130000000,424668047,864868047,2013,734868047,565.2831130769231,440200000,the hunger games: catching fire,Sci-fi,7.5,575455,20.187,50.897937728990925
98,2015-06-19,Inside Out,175000000,356461711,854235992,2015,679235992,388.1348525714286,497774281,inside out,Crime,4.6,1566,4.758,58.27128400836569
98,2015-06-19,Inside Out,175000000,356461711,854235992,2015,679235992,388.1348525714286,497774281,inside out,Drama,4.6,1566,4.758,58.27128400836569
98,2015-06-19,Inside Out,175000000,356461711,854235992,2015,679235992,388.1348525714286,497774281,inside out,Crime,4.6,1566,24.797,58.27128400836569
98,2015-06-19,Inside Out,175000000,356461711,854235992,2015,679235992,388.1348525714286,497774281,inside out,Drama,4.6,1566,24.797,58.27128400836569
