title,title_clean,studio,year,genres,domestic_gross,foreign_gross,total_gross,averagerating,numvotes,release_month,worldwide_gross,main_genre
Predators,predators,Fox,2010,sci-fi,52000000,75200000.0,127200000.0,6.4,199764,7.0,127234389.0,action
Dear John,dear john,SGem,2010,drama,80000000,35000000.0,115000000.0,6.3,128657,2.0,142033509.0,drama
Dear John,dear john,SGem,2010,romance,80000000,35000000.0,115000000.0,6.3,128657,2.0,142033509.0,drama
Dear John,dear john,SGem,2010,war,80000000,35000000.0,115000000.0,6.3,128657,2.0,142033509.0,drama
Cats & Dogs: The Revenge of Kitty Galore,cats & dogs: the revenge of kitty galore,WB,2010,action,43600000,68900000.0,112500000.0,4.3,12642,7.0,113026383.0,action
Cats & Dogs: The Revenge of Kitty Galore,cats & dogs: the revenge of kitty galore,WB,2010,comedy,43600000,68900000.0,112500000.0,4.3,12642,7.0,113026383.0,action
Cats & Dogs: The Revenge of Kitty Galore,cats & dogs: the revenge of kitty galore,WB,2010,family,43600000,68900000.0,112500000.0,4.3,12642,7.0,113026383.0,action
Tooth Fairy,tooth fairy,Fox,2010,comedy,60000000,52400000.0,112400000.0,5.0,37939,1.0,112610386.0,comedy
Tooth Fairy,tooth fairy,Fox,2010,family,60000000,52400000.0,112400000.0,5.0,37939,1.0,112610386.0,comedy
Tooth Fairy,tooth fairy,Fox,2010,fantasy,60000000,52400000.0,112400000.0,5.0,37939,1.0,112610386.0,comedy
Life as We Know It,life as we know it,WB,2010,comedy,53400000,52300000.0,105700000.0,6.6,113077,10.0,105887837.0,comedy
Life as We Know It,life as we know it,WB,2010,drama,53400000,52300000.0,105700000.0,6.6,113077,10.0,105887837.0,comedy
Life as We Know It,life as we know it,WB,2010,romance,53400000,52300000.0,105700000.0,6.6,113077,10.0,105887837.0,comedy
Hereafter,hereafter,WB,2010,drama,32700000,72500000.0,105200000.0,6.5,87288,10.0,108660270.0,drama
Hereafter,hereafter,WB,2010,fantasy,32700000,72500000.0,105200000.0,6.5,87288,10.0,108660270.0,drama
Hereafter,hereafter,WB,2010,romance,32700000,72500000.0,105200000.0,6.5,87288,10.0,108660270.0,drama
The Girl with the Dragon Tattoo,the girl with the dragon tattoo,MBox,2010,crime,10100000,94300000.0,104400000.0,7.8,387580,12.0,239373970.0,crime
The Girl with the Dragon Tattoo,the girl with the dragon tattoo,MBox,2010,drama,10100000,94300000.0,104400000.0,7.8,387580,12.0,239373970.0,crime
The Girl with the Dragon Tattoo,the girl with the dragon tattoo,MBox,2010,mystery,10100000,94300000.0,104400000.0,7.8,387580,12.0,239373970.0,crime
Killers,killers,LGF,2010,action,47100000,51100000.0,98200000.0,5.4,82237,6.0,95572749.0,action
Killers,killers,LGF,2010,comedy,47100000,51100000.0,98200000.0,5.4,82237,6.0,95572749.0,action
Killers,killers,LGF,2010,romance,47100000,51100000.0,98200000.0,5.4,82237,6.0,95572749.0,action
Kick-Ass,kick-ass,LGF,2010,action,48100000,48100000.0,96200000.0,7.6,497363,4.0,97531134.0,action
Kick-Ass,kick-ass,LGF,2010,comedy,48100000,48100000.0,96200000.0,7.6,497363,4.0,97531134.0,action
Green Zone,green zone,Uni.,2010,action,35100000,59800000.0,94900000.0,6.8,122132,3.0,97523020.0,action
Green Zone,green zone,Uni.,2010,drama,35100000,59800000.0,94900000.0,6.8,122132,3.0,97523020.0,action
Green Zone,green zone,Uni.,2010,thriller,35100000,59800000.0,94900000.0,6.8,122132,3.0,97523020.0,action
Nanny McPhee Returns,nanny mcphee returns,Uni.,2010,comedy,29000000,64200000.0,93200000.0,6.1,25048,,,
Nanny McPhee Returns,nanny mcphee returns,Uni.,2010,family,29000000,64200000.0,93200000.0,6.1,25048,,,
Nanny McPhee Returns,nanny mcphee returns,Uni.,2010,fantasy,29000000,64200000.0,93200000.0,6.1,25048,,,
Get Him to the Greek,get him to the greek,Uni.,2010,adventure,61000000,30300000.0,91300000.0,6.4,161653,6.0,91455875.0,adventure
Get Him to the Greek,get him to the greek,Uni.,2010,comedy,61000000,30300000.0,91300000.0,6.4,161653,6.0,91455875.0,adventure
Get Him to the Greek,get him to the greek,Uni.,2010,music,61000000,30300000.0,91300000.0,6.4,161653,6.0,91455875.0,adventure
Burlesque,burlesque,SGem,2010,drama,39400000,50100000.0,89500000.0,6.4,71021,11.0,90552675.0,drama
Burlesque,burlesque,SGem,2010,music,39400000,50100000.0,89500000.0,6.4,71021,11.0,90552675.0,drama
Burlesque,burlesque,SGem,2010,musical,39400000,50100000.0,89500000.0,6.4,71021,11.0,90552675.0,drama
The Last Song,the last song,BV,2010,drama,63000000,26100000.0,89100000.0,6.0,74914,3.0,92678948.0,drama
The Last Song,the last song,BV,2010,music,63000000,26100000.0,89100000.0,6.0,74914,3.0,92678948.0,drama
The Last Song,the last song,BV,2010,romance,63000000,26100000.0,89100000.0,6.0,74914,3.0,92678948.0,drama
Dinner for Schmucks,dinner for schmucks,P/DW,2010,comedy,73000000,13800000.0,86800000.0,5.9,91546,7.0,86796502.0,comedy
Marmaduke,marmaduke,Fox,2010,comedy,33600000,50100000.0,83700000.0,4.2,13283,6.0,89895930.0,comedy
Marmaduke,marmaduke,Fox,2010,family,33600000,50100000.0,83700000.0,4.2,13283,6.0,89895930.0,comedy
Piranha 3D,piranha 3d,W/Dim.,2010,comedy,25000000,58200000.0,83200000.0,5.4,81327,8.0,83660160.0,comedy
Piranha 3D,piranha 3d,W/Dim.,2010,horror,25000000,58200000.0,83200000.0,5.4,81327,8.0,83660160.0,comedy
Edge of Darkness,edge of darkness,WB,2010,crime,43300000,37800000.0,81100000.0,6.6,84753,1.0,82812456.0,crime
Edge of Darkness,edge of darkness,WB,2010,drama,43300000,37800000.0,81100000.0,6.6,84753,1.0,82812456.0,crime
Edge of Darkness,edge of darkness,WB,2010,mystery,43300000,37800000.0,81100000.0,6.6,84753,1.0,82812456.0,crime
Vampires Suck,vampires suck,Fox,2010,comedy,36700000,43900000.0,80600000.0,3.4,43984,8.0,81424988.0,comedy
Letters to Juliet,letters to juliet,Sum.,2010,adventure,53000000,26100000.0,79100000.0,6.6,86137,5.0,82148538.0,adventure
Letters to Juliet,letters to juliet,Sum.,2010,comedy,53000000,26100000.0,79100000.0,6.6,86137,5.0,82148538.0,adventure
Letters to Juliet,letters to juliet,Sum.,2010,drama,53000000,26100000.0,79100000.0,6.6,86137,5.0,82148538.0,adventure
The Back-Up Plan,the back-up plan,CBS,2010,comedy,37500000,40000000.0,77500000.0,5.4,46128,4.0,75281179.0,comedy
The Back-Up Plan,the back-up plan,CBS,2010,romance,37500000,40000000.0,77500000.0,5.4,46128,4.0,75281179.0,comedy
Diary of a Wimpy Kid,diary of a wimpy kid,Fox,2010,comedy,64000000,11700000.0,75700000.0,6.2,38640,3.0,76954311.0,comedy
Diary of a Wimpy Kid,diary of a wimpy kid,Fox,2010,drama,64000000,11700000.0,75700000.0,6.2,38640,3.0,76954311.0,comedy
Diary of a Wimpy Kid,diary of a wimpy kid,Fox,2010,family,64000000,11700000.0,75700000.0,6.2,38640,3.0,76954311.0,comedy
Easy A,easy a,SGem,2010,comedy,58400000,16600000.0,75000000.0,7.1,330125,9.0,76200721.0,comedy
Easy A,easy a,SGem,2010,drama,58400000,16600000.0,75000000.0,7.1,330125,9.0,76200721.0,comedy
Easy A,easy a,SGem,2010,romance,58400000,16600000.0,75000000.0,7.1,330125,9.0,76200721.0,comedy
Takers,takers,SGem,2010,action,57700000,11300000.0,69000000.0,6.2,53377,8.0,70587268.0,action
Takers,takers,SGem,2010,crime,57700000,11300000.0,69000000.0,6.2,53377,8.0,70587268.0,action
Takers,takers,SGem,2010,thriller,57700000,11300000.0,69000000.0,6.2,53377,8.0,70587268.0,action
The American,the american,Focus,2010,crime,35600000,32299999.0,67899999.0,6.3,86863,9.0,67950723.0,crime
The American,the american,Focus,2010,drama,35600000,32299999.0,67899999.0,6.3,86863,9.0,67950723.0,crime
The American,the american,Focus,2010,thriller,35600000,32299999.0,67899999.0,6.3,86863,9.0,67950723.0,crime
The Last Exorcism,the last exorcism,LGF,2010,drama,41000000,26700000.0,67700000.0,5.6,45815,8.0,70165900.0,drama
The Last Exorcism,the last exorcism,LGF,2010,horror,41000000,26700000.0,67700000.0,5.6,45815,8.0,70165900.0,drama
The Last Exorcism,the last exorcism,LGF,2010,thriller,41000000,26700000.0,67700000.0,5.6,45815,8.0,70165900.0,drama
The Next Three Days,the next three days,LGF,2010,action,21100000,46300000.0,67400000.0,7.4,168066,11.0,67255916.0,action
The Next Three Days,the next three days,LGF,2010,crime,21100000,46300000.0,67400000.0,7.4,168066,11.0,67255916.0,action
The Next Three Days,the next three days,LGF,2010,drama,21100000,46300000.0,67400000.0,7.4,168066,11.0,67255916.0,action
Skyline,skyline,Uni.,2010,action,21400000,45400000.0,66800000.0,4.4,83710,11.0,68264973.0,action
Skyline,skyline,Uni.,2010,sci-fi,21400000,45400000.0,66800000.0,4.4,83710,11.0,68264973.0,action
Skyline,skyline,Uni.,2010,thriller,21400000,45400000.0,66800000.0,4.4,83710,11.0,68264973.0,action
Hot Tub Time Machine,hot tub time machine,MGM,2010,comedy,50300000,14300000.0,64600000.0,6.4,153962,3.0,65967750.0,comedy
Hot Tub Time Machine,hot tub time machine,MGM,2010,sci-fi,50300000,14300000.0,64600000.0,6.4,153962,3.0,65967750.0,comedy
Devil,devil,Uni.,2010,horror,33600000,29100000.0,62700000.0,6.2,122080,9.0,63354114.0,horror
Devil,devil,Uni.,2010,mystery,33600000,29100000.0,62700000.0,6.2,122080,9.0,63354114.0,horror
Devil,devil,Uni.,2010,thriller,33600000,29100000.0,62700000.0,6.2,122080,9.0,63354114.0,horror
127 Hours,127 hours,FoxS,2010,adventure,18300000,42400000.0,60700000.0,7.6,323949,11.0,60217171.0,adventure
127 Hours,127 hours,FoxS,2010,biography,18300000,42400000.0,60700000.0,7.6,323949,11.0,60217171.0,adventure
127 Hours,127 hours,FoxS,2010,drama,18300000,42400000.0,60700000.0,7.6,323949,11.0,60217171.0,adventure
