title,worldwide_gross,averagerating,numvotes,popularity,domestic_gross,foreign_gross,total_gross
super 8,257972745,7.0,320575,14.39,127000000,133100000.0,260100000.0
american hustle,257878294,7.2,418221,12.481,150100000,101100000.0,251200000.0
american hustle,257878294,7.2,418221,12.481,150100000,101100000.0,251200000.0
annabelle,256862920,5.4,122039,13.989,84300000,172800000.0,257100000.0
get out,255367951,7.7,400474,0.8340000000000001,176000000,79400000.0,255400000.0
get out,255367951,7.7,400474,24.739,176000000,79400000.0,255400000.0
true grit,252276928,7.6,284034,13.118,171200000,81000000.0,252200000.0
after earth,251499665,4.8,181687,14.415,60500000,183300000.0,243800000.0
the peanuts movie,250091610,7.1,39149,11.344,130199999,116100000.0,246299999.0
the peanuts movie,250091610,7.1,39149,11.344,130199999,116100000.0,246299999.0
alvin and the chipmunks: the road chip,249517956,5.1,14507,14.973,85900000,148900000.0,234800000.0
grown ups 2,247023808,5.4,128500,11.289,133699999,113300000.0,246999999.0
rango,245724600,7.2,215761,14.462,123500000,122200000.0,245700000.0
teenage mutant ninja turtles: out of the shadows,245328374,6.0,77234,15.095999999999998,82100000,163600000.0,245700000.0
pixels,244041804,4.6,54,2.172,78700000,166100000.0,244800000.0
pixels,244041804,4.6,54,23.029,78700000,166100000.0,244800000.0
resident evil: retribution,240647629,5.4,125191,1.325,42300000,197700000.0,240000000.0
the girl with the dragon tattoo,239373970,7.8,387580,17.823,10100000,94300000.0,104400000.0
sully,238524556,7.5,202718,18.148,125100000,115700000.0,240800000.0
alien: covenant,238521247,6.4,226920,24.651,74300000,166600000.0,240900000.0
dark shadows,238202668,6.2,229818,15.75,79700000,165800000.0,245500000.0
crazy rich asians,238099711,7.0,96617,17.969,174500000,64000000.0,238500000.0
american reunion,236799211,6.7,192250,17.199,57000000,178000000.0,235000000.0
silver linings playbook,236412453,7.7,621018,15.351,132100000,104300000.0,236400000.0
gulliver's travels,232017848,4.9,61178,10.768,42800000,194600000.0,237400000.0
hidden figures,231771716,7.8,171131,14.751,169600000,66300000.0,235900000.0
hidden figures,231771716,7.8,171131,14.751,169600000,66300000.0,235900000.0
the heat,229727774,6.6,153501,16.912,159600000,70300000.0,229900000.0
the green hornet,229155503,5.8,148622,14.501,98800000,129000000.0,227800000.0
baby driver,228104185,7.6,363977,22.895,107800000,119100000.0,226900000.0
the imitation game,227740463,8.0,620834,33.078,91100000,142400000.0,233500000.0
argo,227140757,7.7,534683,15.793,136000000,96300000.0,232300000.0
the social network,224922135,7.7,568578,15.889,97000000,128000000.0,225000000.0
percy jackson & the olympians: the lightning thief,223050874,5.9,165108,26.691,88800000,137700000.0,226500000.0
non-stop,222383055,7.0,234717,2.264,92200000,130600000.0,222800000.0
non-stop,222383055,7.0,234717,13.562,92200000,130600000.0,222800000.0
geostorm,220796009,5.3,78287,13.653,33700000,187900000.0,221600000.0
geostorm,220796009,5.3,78287,13.653,33700000,187900000.0,221600000.0
captain phillips,220648184,7.8,387402,15.483,107100000,111700000.0,218800000.0
dracula untold,220241723,6.3,164829,29.043000000000003,56300000,160800000.0,217100000.0
green lantern,219535492,5.5,252281,17.257,116600000,103300000.0,219900000.0
inferno,219519367,6.3,50,17.41,34300000,185700000.0,220000000.0
inferno,219519367,6.3,50,17.41,34300000,185700000.0,220000000.0
the sorcerer's apprentice,217986320,6.1,143862,14.463,63200000,152100000.0,215300000.0
